Category,Name,Type,Description
legume dishes,Matevž,Legume dishes,Matevž (puréed beans with cracklings) is a Slovene national dish.
legume dishes,Moro de guandules,Legume dishes,Moro de guandules  (Moorish pigeon peas) is a dish from the cuisine of the Dominican Republic severed on Holidays.
legume dishes,Moros y Cristianos (food),Legume dishes,"Moros y Cristianos (or simply moros, moro, arroz moro, or congrí) is a Cuban dish served at virtually every Cuban restaurant."
chickpea dishes,Msabbaha,Chickpea dishes,"Msabbaha (Arabic: مسبحة‎, also romanized musabbaha, literally ""swimming"" also known as mashausha[1] or mashawsha (Arabic: مشوشة‎) is a variation of hummus popular in the Levant."
Palestinian dishes,Mujaddara,West Bank,"Mujaddara (Arabic: مجدرة‎ mujadarah, with alternative spellings in English majadra, mejadra, moujadara, mudardara, and megadarra) consists of cooked lentils together with groats, generally rice, and garnished with sautéed onions."
legume dishes,Murukku,Legume dishes,"Murukku (Tamil - முறுக்கு) is a savoury, crunchy snack originating from the Indian subcontinent, The name Murukku derives from the Tamil word for ""twisted"", which refers to its shape."
legume dishes,Mushy peas,Legume dishes,"Mushy peas are dried marrowfat peas which are first soaked overnight in water with sodium bicarbonate (baking soda), then rinsed in fresh water, after which the peas are gathered in a saucepan, covered with water, and brought to a boil, then simmered until the peas are softened and mushy."
legume dishes,Nokdumuk,Legume dishes,"Nokdu-muk (녹두묵, 綠豆- ; ""mung bean jelly"",[1]) is a Korean muk, or jelly, made from mung bean starch."
legume dishes,Olla podrida,Legume dishes,"Olla podrida (/ˌɒlə poʊˈdriːdə, - pəˈ-/,[1] also UK: /- pɒˈ-/,[2] US: /ˌɔɪə pəˈ-/,[3] Spanish: [ˈoʎa poˈðɾiða]; literally ""rotten pot"", although podrida is probably a version of the original word poderida, so it could be translated as ""powerful pot"") is a Spanish stew, usually made with chickpeas or beans, and assorted meats like pork, beef, bacon, partridge, chicken, ham, sausage, and vegetables such as carrots, leeks, cabbage, potatoes and onions."
legume dishes,Pabellón criollo,Legume dishes,Pabellón criollo (Spanish pronunciation: [paβeˈʝoŋ ˈkɾjo.
Sicilian dishes,Panelle,Sicilian dishes,Panelle (or panella di ceci) are Sicilian fritters made from chickpea flour and other ingredients.
deep fried foods,Papadum,Deep fried foods,"A papadum (also called papad or papar) is a thin, crisp, round flatbread from India."
legume dishes,Paripu,Legume dishes,"Dal (also spelled daal; pronunciation: [d̪aːl]) is a term used in the Indian subcontinent for dried, split pulses (that is, lentils, peas, and beans) that do not require soaking before cooking."
legume dishes,Pasta e fagioli,Legume dishes,"Pasta e fagioli (pronounced [ˈpasta e ffaˈdʒɔːli]), meaning ""pasta and beans"", is a traditional Italian soup."
legume dishes,Peabutter,Legume dishes,Peabutter is a food spread made from brown peas and functions as a substitute for peanut butter.[1]
legume dishes,Pease pudding,Legume dishes,"Pease pudding, also known as pease porridge, is a savoury pudding dish made of boiled legumes,[1][2] typically split yellow peas, with water, salt, and spices, and often cooked with a bacon or ham joint."
legume dishes,Pie and peas,Legume dishes,"Pie and peas is a traditional meal in the north of England, consisting of an individual pork pie served with mushy peas and gravy."
legume dishes,Pie floater,Legume dishes,The pie floater is an Australian dish particularly common in Adelaide.
Nepalese dishes,Pokhemma,Nepali/Nepalese dishes,Pokhemma is a type of food used by Kirat as an offering for their ancestors.
legume dishes,Porotos con rienda,Legume dishes,"Porotos con rienda (English: beans with reins) is a typical Chilean dish made of boiled beans with spaghetti, chorizo, diced pumpkin, chili, and onions."
legume dishes,Purtumute,Legume dishes,Purtumute is a typical dish of the Amazonas Region in Peru.[1][2]
legume dishes,Ragda pattice,Legume dishes,"Ragda pattice is a dish of mashed potato patties and gravy, and is part of the street food culture in the Indian states of Maharashtra and Gujarat."
legume dishes,Rajma,Legume dishes,"Rājmā[1] or Rāzmā is a vegetarian dish, originating from the Indian subcontinent, consisting of red kidney beans in a thick gravy with many Indian whole spices, and is usually served with rice."
legume dishes,Red bean cake,Legume dishes,Red bean cake is a type of Chinese cake with a sweet red bean paste filling.
legume dishes,Red bean ice,Legume dishes,Red bean ice is a drink commonly found in Hong Kong.
legume dishes,Red bean paste,Legume dishes,"Red bean paste (traditional Chinese: 豆沙/紅豆沙; simplified Chinese: 豆沙/红豆沙; Japanese: 餡こ or 小豆餡; Korean: 팥소) or red bean jam,[1] also called adzuki bean paste or anko (in Japanese),[2] is a paste made of red beans (also called ""azuki beans""), used in East Asian cuisine."
legume dishes,Red bean soup,Legume dishes,Hong dou tang (simplified Chinese: 紅豆汤; traditional Chinese: 紅豆湯; pinyin: hóngdòutāng; Jyutping: hung4 dau6 tong1; lit.
legume dishes,Revalenta arabica,Legume dishes,"Revalenta Arabica, or Ervalenta, is a name given to a preparation which was sold in the 18th century as an empirical diet for patients, extraordinary restorative virtues being attributed to it."
legume dishes,Rice and beans,Legume dishes,Rice and beans is a type of dish made from a combination of staple foods in many cultures around the world.
legume dishes,Sambar (dish),Legume dishes,"Sambar  (IPA: sʌmbʌʀ, ISO 15919: Sāmbār) is a lentil-based vegetable stew, cooked with pigeon pea and tamarind broth."
Ethiopian and Eritrean dishes and foods,Shahan ful,Ethiopian and Eritrean dishes and foods,"Shahan ful, simplified to ful, is a dish common in Eritrea, Ethiopia, Sudan, South Sudan  and other parts of the Horn of Africa, which is generally served for breakfast."
Ethiopian and Eritrean dishes and foods,Shiro (food),Ethiopian and Eritrean dishes and foods,Shiro (Ge'ez: ሽሮ) is an Ethiopian-Eritrean originated stew whose primary ingredient is powdered chickpeas or broad bean meal.
legume dishes,Soup beans,Legume dishes,"Soup beans is a term common in the Southern United States, particularly the regions around the Appalachian Mountains."
legume dishes,Split pea soup,Legume dishes,"Pea soup or split pea soup is soup made typically from dried peas, such as the split pea."
legume dishes,Tavče gravče,Legume dishes,Tavče gravče (Macedonian: Тавче гравче)  is a traditional Macedonian dish.
foods named after places,Texas caviar,United States,"Texas caviar is a salad of black-eyed peas lightly pickled in a vinaigrette-style dressing, often eaten as a dip accompaniment to tortilla chips."
legume dishes,Tortillitas de camarones,Legume dishes,"Tortillitas de camarones are shrimp fritters from the province of Cádiz in Andalusia, Spain."
legume dishes,Ulava charu,Legume dishes,"Ulava Charu is a South Indian soup dish from the state of Andhra Pradesh, India."
legume dishes,Umngqusho,Legume dishes,Umngqusho [umŋǃʱuʃo] is an African dish with several variants:
legume dishes,Waakye,Legume dishes,"Waakye (/ˈwɑːtʃeɪ/ WAH-chay)[2] is a Ghanaian dish of cooked rice and beans, commonly eaten for breakfast or lunch."
legume dishes,Yun dou juan,Legume dishes,Yun dou juan (Chinese: 芸豆卷; pinyin: yúndòujuǎn; lit.
foods named after places,American goulash,United States,"American goulash, sometimes called slumgullion, is an American comfort food dish, similar to American chop suey."
meat dishes,Baeckeoffe,Meat dishes,"Baeckeoffe (English: ""bake oven"")[2] is a casserole dish[3][4] that is typical in the French region of Alsace, situated on the border with Germany."
casserole dishes,Baked ziti,Casserole dishes,Baked ziti is a popular casserole with ziti pasta and a Neapolitan-style tomato-based sauce characteristic of Italian-American cuisine.
casserole dishes,Chili mac,Casserole dishes,"Chili mac is a dish prepared using chili and macaroni as primary ingredients, which is often topped or intermingled with cheese."
casserole dishes,Funeral potatoes,Casserole dishes,"Funeral potatoes (also great potatoes, hash brown casserole,[1] cheesy hash browns,[2][3] those potatoes,[4]  or party potatoes[5][6][7]) is a traditional Mormon potato hotdish or casserole[8] that is popular in the American Intermountain West and Midwest."
casserole dishes,Gopchang jeongol,Casserole dishes,"Gopchang-jeongol[1] (곱창전골) or beef tripe hot pot[1] is a spicy Korean stew or casserole made by boiling beef tripe, vegetables, and seasonings in beef broth."
casserole dishes,Gratin,Casserole dishes,"Gratin (French pronunciation: ​[ɡʁatɛ̃]) is a culinary technique in which an ingredient is topped with a browned crust, often using breadcrumbs, grated cheese, egg or butter."
French dishes,Gratin dauphinois,Common desserts and pastries,"Gratin dauphinois is a French dish of sliced potatoes baked in milk or cream, using the gratin technique, from the Dauphiné region in south-eastern France."
casserole dishes,Hotdish,Casserole dishes,"A hotdish is a dish that typically contains a starch, a meat, and a canned or frozen vegetable mixed with canned soup."
casserole dishes,Imelletty perunalaatikko,Casserole dishes,"Sweetened potato casserole (Finnish imelletty perunalaatikko) is a traditional Finnish dish from Päijät-Häme, eaten elsewhere in Finland at Christmastime."
casserole dishes,Jeongol,Casserole dishes,Soups & stews
casserole dishes,Johnny Marzetti,Casserole dishes,"Johnny Marzetti is an American pasta dish in the cuisine of the Midwestern United States prepared with noodles, cheese, ground beef, and a tomato sauce that typically includes aromatic vegetables and mushrooms."
cabbage dishes,Kaalilaatikko,Cabbage dishes,"Cabbage casserole (Finnish: kaalilaatikko) is a traditional Finnish oven-baked casserole dish,[1] typically made of cabbage, ground meat, rice or pearl barley, and additional flavourings—such as onion, marjoram—and a small amount of syrup or molasses."
eggplant dishes,Karnıyarık,Eggplant dishes,Karnıyarık (lit.
casserole dishes,Kiampong,Casserole dishes,"Kiampong, also spelled as kiampung, is a Filipino glutinous rice casserole."
casserole dishes,Krupenik,Casserole dishes,"A krupenik (Russian: крупеник) is a sweet or savory casserole made of groats (wheat, buckwheat, barley or rice) and tvorog, or Russian farmer cheese."
casserole dishes,Kugel,Casserole dishes,"Kugel (Yiddish: קוגל‎ kugl, pronounced IPA: [ˈkʊɡl̩]) is a baked pudding or casserole, most commonly made from egg noodles (לאָקשן קוגל lokshen kugel) or potato."
foods named after places,Lancashire hotpot,Western Europe,Lancashire hotpot is a stew originating from Lancashire in the North West of England.
casserole dishes,Lanttulaatikko,Casserole dishes,Lanttulaatikko or kålrotslåda (swede casserole) is a swede (rutabaga) casserole that is a traditional Christmas dish of Finland.
casserole dishes,Macaroni casserole,Casserole dishes,Macaroni casserole is a baked macaroni casserole.
casserole dishes,Macaroni pie,Casserole dishes,Macaroni pie is a casserole dish based on baked macaroni and cheese.
casserole dishes,Makaroni schotel,Casserole dishes,Macaroni casserole is a baked macaroni casserole.
meat dishes,Maksalaatikko,Meat dishes,"Liver casserole (Finnish: maksalaatikko, Swedish: leverlåda) is a Finnish food that is made of rice, ground liver, butter, syrup, egg, onion, and raisin."
Palestinian dishes,Maqluba,West Bank,"Maqluba or Maqlooba (Arabic: مقلوبة‎) is a traditional Iraqi,[1] Lebanese,[2][3] Palestinian,[4][5][6][7] Jordanian,[8][9] and Syrian[10][3] dish served throughout the Levant."
casserole dishes,Mirza Ghassemi,Casserole dishes,"Mirza Ghassemi or Mirza Qassemi (Persian: میرزاقاسمی) is an Iranian appetizer or main based on tandoori or grilled aubergine (eggplant), distinct to the Northern Iranand Caspian Sea region (specifically Gilan province)."
casserole dishes,Nut roast,Casserole dishes,"A nut roast or roasted nut loaf is a vegetarian dish consisting of nuts, grains, vegetable oils, broth or butter, and seasonings formed into a firm loaf shape or long casserole dish before roasting and often eaten as an alternative to a traditional British style roast dinner."
casserole dishes,Pastelón,Casserole dishes,"Pastelón is a Puerto Rican casserole dish layered like Italian lasagne made with exclusively sweet plantains, stuffed with ground meat, vegetables, and bound together with beaten eggs."
casserole dishes,Pastitsada,Casserole dishes,Pastitsada (Greek: Παστιτσάδα) is a Greek dish consisting of pasta topped with meat braised in a spicy tomato-based sauce.
